1946,8.47E+17, Tue Mar 28 15:06:41 +0000 2017,1.49E+12, striking in drasdos slides liver damage after acetaminophen is necrotic regions around central veins in liver lobules. mbispring2017,  acetaminophen,327094947, MathCancer, turning scifi to engineering reality  virtual tissues  multicellular systems  cancer  @multicellds digitalcelllines  assoc prof at @iubloomington @iusoic,0,0,1077, Bloomington: IN USA, None
1953,8.47E+17, Tue Mar 28 15:28:03 +0000 2017,1.49E+12, im a pharmacist. we cant even get an ehr thatll reject a incorrect acetaminophen order. just sayin ,  acetaminophen,33433404, JFahrni, pharmacist with interest in automation and technology whether its related to healthcare or not. consultant  speaker  dad  husband  football fan. central valley,0,0,366, Fresno: CA, None
2652,8.47E+17, Wed Mar 29 22:15:56 +0000 2017,1.49E+12, @mortuaryreport love amp solidarity. i have a nerve tumor condition and i was told to just up my ibuprofen  acetaminophen intake. ,  acetaminophen,17224803, runningnekkid, mixedrace disabled pasifika intersectional feminist writer. kanaka maoli  chamorro. neurofibromatosis schwannomatosis.,0,0,740, KahaluÌ_Ìöu | Seattle, None
3180,8.48E+17, Thu Mar 30 18:59:11 +0000 2017,1.49E+12, @danirozay you have to take 2 at once like me to get any kind of feeling but then you gotta watch your acetaminophen levels,  acetaminophen,197071035, PeteyRawlins, god is better than the worlds best thing,0,0,251, Wanderlust: SC, None
3256,8.48E+17, Thu Mar 30 21:54:21 +0000 2017,1.49E+12, 3. acetaminophen sucks for pretty much everything the toxicologists and i have been saying this for years @davidjuurlink im2017,  acetaminophen,185412913, cheeler, internist  sw region cmio at @intermountain healthcare. crusader against opioids for chronic noncancer pain. passion for geriatrics  dementia   hpm.,0,0,121, St. George: UT: USA, None
3385,8.48E+17, Fri Mar 31 03:36:51 +0000 2017,1.49E+12, @usfda if i cant use acetaminophen bc liver and i cant take nsaids bc stroke  what have you approved that wont ,  acetaminophen,553060247, ThatGingerAnna, cinephile. blogger. vlogger. southerner. traveler. catholic. linguaphile. foodie. music. wine. learning.,0,0,2224, New York: USA, None
3588,8.48E+17, Fri Mar 31 18:12:53 +0000 2017,1.49E+12, hate drugs but gonna need this acetaminophen caffeine pyrilamine maleate combo to come thru rn,  acetaminophen,182384436, sartorialgirl, jeremiah 2911 | snapchat sartorialgirl,0,0,226, new york: ny, None
3621,8.48E+17, Fri Mar 31 19:47:32 +0000 2017,1.49E+12, @bookoisseur well  its got acetaminophen and caffeine  so..i wouldnt go over the recommended dosage,  acetaminophen,14706705, Jen_Face, ,0,0,604, Chicago, None
3769,8.48E+17, Sat Apr 01 02:48:21 +0000 2017,1.49E+12, @sydthekid14 that extra strength acetaminophen sounds hella dank,  acetaminophen,719277961, jackedhastings, not the best but still good,0,0,230, Fargo: ND, None
3999,8.48E+17, Sun Apr 02 00:12:21 +0000 2017,1.49E+12, @pillsandbladesx @gonggasgirl @ketaminh there is evidence that individual packeting of acetaminophen blister packs reduces suicides.,  acetaminophen,16342328, movinmeat, father  emergency physician  karateka  pilot  apple fanboy  and fiddle player. in distress.,0,0,1191, pacific NW, None
